Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,Customer Satisfaction
39,18,2423,Highway,Sunny,Truck,Medium,Weekday,93
45,19,2497,Suburban,Rainy,Truck,High,Weekday,60
37,21,2556,Urban,Rainy,Truck,Low,Weekday,67
35,16,2300,Urban,Sunny,Truck,Medium,Weekday,89
41,12,1982,Highway,Rainy,Truck,High,Weekday,57
53,18,2472,Urban,Sunny,Truck,Medium,Weekend,80
57,24,2753,Urban,Sunny,Truck,High,Weekday,82
50,21,2468,Suburban,Rainy,Truck,Medium,Weekday,63
37,5,1602,Urban,Sunny,Truck,High,Weekday,64
55,31,3086,Suburban,Snowy,Truck,Medium,Weekday,86
57,27,2761,Highway,Sunny,Truck,Medium,Weekday,79
33,12,2059,Suburban,Sunny,Truck,Medium,Weekend,74
55,12,1975,Urban,Sunny,Truck,High,Weekend,66
37,13,2131,Suburban,Sunny,Truck,Medium,Weekend,70
55,15,2128,Highway,Sunny,Truck,High,Weekday,64
57,26,2828,Urban,Rainy,Truck,Medium,Weekday,86
47,8,1810,Urban,Rainy,Truck,Low,Weekend,65
57,26,2808,Suburban,Rainy,Truck,Medium,Weekday,79
57,34,3218,Urban,Sunny,Truck,Medium,Weekday,71
34,5,1593,Suburban,Rainy,Truck,High,Weekend,82
38,22,2657,Highway,Rainy,Truck,Medium,Weekday,83
33,11,1962,Suburban,Rainy,Truck,Medium,Weekday,85
56,30,3061,Suburban,Sunny,Truck,Medium,Weekday,92
51,26,2703,Suburban,Rainy,Truck,Medium,Weekday,83
46,15,2254,Urban,Rainy,Truck,High,Weekday,81
38,18,2401,Urban,Sunny,Truck,Medium,Weekday,73
30,16,2258,Suburban,Rainy,Truck,Medium,Weekday,71
50,14,2184,Highway,Sunny,Truck,High,Weekday,82
49,12,2003,Urban,Sunny,Truck,High,Weekday,84
42,15,2176,Urban,Sunny,Truck,Medium,Weekend,87
57,29,2874,Suburban,Sunny,Truck,Medium,Weekday,70
45,22,2630,Highway,Sunny,Truck,Medium,Weekday,99
58,30,2996,Urban,Rainy,Truck,Medium,Weekday,91
42,12,2110,Suburban,Sunny,Truck,High,Weekend,63
43,22,2524,Highway,Rainy,Truck,Medium,Weekday,88
32,7,1897,Suburban,Rainy,Truck,Medium,Weekday,74
58,24,2761,Highway,Sunny,Truck,Medium,Weekday,73
35,5,1712,Urban,Rainy,Truck,Medium,Weekend,64
47,15,2275,Highway,Snowy,Truck,Low,Weekday,74
48,16,2332,Highway,Rainy,Truck,Low,Weekday,86
34,12,2188,Suburban,Rainy,Truck,Medium,Weekday,87
44,21,2458,Urban,Snowy,Truck,Low,Weekday,84
54,15,2218,Urban,Rainy,Truck,Low,Weekend,69
31,8,1914,Highway,Sunny,Truck,Medium,Weekend,85
39,11,2083,Urban,Rainy,Truck,Low,Weekday,84
53,14,2123,Urban,Rainy,Truck,Low,Weekend,74
59,17,2421,Urban,Sunny,Truck,Medium,Weekday,93
47,10,2020,Urban,Sunny,Truck,Medium,Weekday,91
56,24,2738,Suburban,Rainy,Truck,Medium,Weekday,89
42,19,2543,Urban,Sunny,Truck,Low,Weekday,71
34,12,2091,Urban,Snowy,Truck,High,Weekend,75
52,16,2256,Highway,Sunny,Truck,High,Weekday,61
53,14,2166,Suburban,Sunny,Truck,High,Weekday,77
30,16,2330,Urban,Sunny,Truck,Medium,Weekday,70
51,16,2227,Urban,Sunny,Truck,High,Weekday,75
30,11,1979,Highway,Rainy,Truck,Medium,Weekday,73
47,9,1870,Suburban,Snowy,Truck,Low,Weekday,75
44,11,2029,Highway,Rainy,Truck,Medium,Weekend,63
46,12,2150,Suburban,Sunny,Truck,High,Weekday,68
40,14,2260,Urban,Sunny,Truck,Medium,Weekday,98
50,16,2350,Highway,Rainy,Truck,Low,Weekend,64
55,17,2411,Suburban,Snowy,Truck,High,Weekend,72
54,18,2324,Urban,Sunny,Truck,High,Weekday,83
51,20,2421,Suburban,Sunny,Truck,Low,Weekend,91
56,29,2900,Suburban,Sunny,Truck,Medium,Weekday,76
56,27,2924,Suburban,Rainy,Truck,Low,Weekday,72
46,20,2502,Highway,Rainy,Truck,High,Weekday,90
42,6,1671,Suburban,Sunny,Truck,Medium,Weekend,98
30,8,1874,Urban,Sunny,Truck,Medium,Weekday,80
31,4,1695,Suburban,Rainy,Truck,High,Weekday,63
38,17,2272,Urban,Sunny,Truck,Medium,Weekday,89
32,13,2182,Suburban,Sunny,Truck,Medium,Weekend,79
30,8,1927,Urban,Sunny,Truck,Medium,Weekday,96
50,28,2949,Urban,Sunny,Truck,Medium,Weekday,79
45,10,1916,Highway,Sunny,Truck,Medium,Weekday,83
52,23,2626,Suburban,Rainy,Truck,Low,Weekend,67
35,8,1851,Urban,Rainy,Truck,Medium,Weekend,77
57,13,2188,Urban,Rainy,Truck,Medium,Weekday,67
46,18,2393,Suburban,Rainy,Truck,Medium,Weekday,85
34,8,1722,Urban,Sunny,Truck,High,Weekend,67
34,8,1791,Highway,Rainy,Truck,High,Weekday,89
35,8,1900,Urban,Sunny,Truck,Medium,Weekend,88
32,12,2008,Urban,Rainy,Truck,Medium,Weekend,62
50,20,2524,Urban,Snowy,Truck,Medium,Weekday,79
52,12,1993,Highway,Sunny,Truck,High,Weekday,93
34,15,2311,Highway,Sunny,Truck,Medium,Weekday,95
50,19,2398,Highway,Sunny,Truck,High,Weekday,71
34,10,2067,Suburban,Sunny,Truck,Medium,Weekday,71
39,11,2029,Highway,Sunny,Truck,High,Weekday,78
39,7,1706,Urban,Rainy,Truck,High,Weekday,85
48,10,1994,Suburban,Snowy,Truck,High,Weekday,80
