ID,Hours Worked,Deliveries Completed,Weekly Salary,Route Complexity,Weather Condition,Vehicle Type,Traffic Level,Day of the Week,CUSTOMER_SATISFACTION,AVERAGE_SPEED,Miles Driven,FUEL_CONSUMPTION
4251,44,15,2173,Suburban,Sunny,Truck,Low,Weekday,88,46.71,2055.3,312.05
4252,44,8,1867,Urban,Sunny,Truck,Low,Weekend,99,30.69,1350.19,240.4
4253,38,6,1668,Urban,Sunny,Truck,High,Weekday,76,24.07,914.79,168.07
4254,48,10,2003,Highway,Rainy,Truck,Medium,Weekday,70,48.85,2344.67,330.85
4255,55,19,2476,Highway,Sunny,Truck,Medium,Weekday,98,61.8,3398.99,544.73
4256,49,12,2141,Urban,Rainy,Truck,Medium,Weekend,72,25.89,1268.81,229.46
4257,58,22,2631,Highway,Rainy,Truck,Medium,Weekend,78,52.33,3035.39,428.94
4258,51,25,2815,Suburban,Sunny,Truck,Medium,Weekday,96,45.31,2310.9,416.5
4259,37,6,1794,Urban,Sunny,Truck,High,Weekday,64,24.19,894.92,174.96
4260,50,14,2192,Highway,Rainy,Truck,Medium,Weekday,87,51.51,2575.6,425.78
4261,48,14,2107,Highway,Snowy,Truck,Medium,Weekday,70,46.28,2221.38,306.4
4262,35,14,2256,Urban,Sunny,Truck,Medium,Weekday,81,29.18,1021.17,186.09
4263,49,9,1923,Highway,Rainy,Truck,High,Weekend,73,41.54,2035.49,309.06
4264,54,10,2021,Suburban,Sunny,Truck,High,Weekday,74,36.19,1954.25,336.58
4265,58,33,3124,Suburban,Sunny,Truck,Medium,Weekday,97,44.98,2608.72,439.23
4266,48,25,2845,Suburban,Rainy,Truck,Low,Weekday,62,40.33,1935.69,305.75
4267,33,8,1976,Suburban,Sunny,Truck,Medium,Weekday,71,43.97,1451.17,223.26
4268,52,18,2485,Suburban,Rainy,Truck,Low,Weekday,66,38.3,1991.77,360.44
4269,36,12,2162,Urban,Sunny,Truck,Medium,Weekday,88,30.78,1107.99,213.75
4270,57,23,2724,Urban,Rainy,Truck,High,Weekday,72,21.25,1211.19,239.16
4271,57,23,2589,Suburban,Sunny,Truck,Medium,Weekday,99,44.91,2560.07,432.25
4272,33,6,1745,Highway,Sunny,Truck,High,Weekday,73,49.62,1637.52,246.61
4273,51,20,2460,Highway,Sunny,Truck,High,Weekend,88,48.27,2461.53,357.15
4274,41,11,1903,Suburban,Sunny,Truck,Medium,Weekend,89,46.94,1924.39,298.32
4275,42,12,2077,Suburban,Rainy,Truck,Low,Weekday,74,40.2,1688.24,279.02
4276,32,11,1997,Urban,Sunny,Truck,Medium,Weekday,79,29.11,931.67,172.92
4277,51,20,2490,Urban,Sunny,Truck,Medium,Weekday,85,31.11,1586.63,289.43
4278,41,13,2178,Urban,Rainy,Truck,Medium,Weekday,76,26.27,1076.89,185.05
4279,31,7,1837,Urban,Sunny,Truck,Medium,Weekend,85,29.69,920.51,165.55
4280,53,15,2133,Urban,Sunny,Truck,Medium,Weekend,89,31.03,1644.36,287.96
4281,31,6,1842,Suburban,Rainy,Truck,Low,Weekday,83,38.19,1183.91,189.02
4282,56,22,2694,Urban,Sunny,Truck,High,Weekday,73,24.72,1384.29,236.33
4283,52,10,1856,Highway,Sunny,Truck,High,Weekday,84,48.9,2542.93,362.33
4284,38,6,1684,Suburban,Sunny,Truck,High,Weekday,83,35.57,1351.54,232.65
4285,30,10,1861,Urban,Sunny,Truck,High,Weekday,80,24.7,740.99,128.14
4286,37,18,2339,Suburban,Rainy,Truck,Low,Weekday,69,38.66,1430.53,239.98
4287,52,21,2562,Urban,Sunny,Truck,Medium,Weekend,92,29.11,1513.72,262.12
4288,35,10,1847,Suburban,Sunny,Truck,High,Weekday,78,36.12,1264.23,194.89
4289,35,7,1693,Highway,Sunny,Truck,High,Weekday,71,49.83,1744.01,254.8
4290,51,25,2692,Highway,Sunny,Truck,Low,Weekday,81,60.67,3094.15,449.15
4291,54,25,2814,Urban,Sunny,Truck,Medium,Weekday,86,30.19,1630.41,325.28
4292,47,14,2293,Urban,Snowy,Truck,Low,Weekday,76,24.22,1138.48,218.53
4293,46,20,2408,Highway,Sunny,Truck,High,Weekend,85,49.17,2261.73,338.78
4294,58,11,2044,Urban,Sunny,Truck,High,Weekend,62,24.31,1409.81,289.86
4295,41,19,2412,Suburban,Rainy,Truck,High,Weekend,65,31.95,1309.92,204.14
4296,35,19,2462,Highway,Sunny,Truck,Medium,Weekday,79,59.89,2096.25,326.13
4297,55,26,2877,Suburban,Sunny,Truck,Medium,Weekday,81,46.71,2569.11,409.87
4298,56,25,2804,Suburban,Rainy,Truck,Medium,Weekend,80,38.71,2167.61,342.81
4299,37,14,2180,Suburban,Sunny,Truck,Medium,Weekend,93,46.07,1704.54,281.38
4300,48,10,1929,Suburban,Rainy,Truck,High,Weekday,73,30.49,1463.63,230.56
4301,57,21,2512,Urban,Rainy,Truck,Low,Weekday,85,25.89,1475.45,263.61
4302,39,8,1933,Urban,Sunny,Truck,Medium,Weekday,74,28.83,1124.26,214.2
4303,30,8,1820,Urban,Sunny,Truck,High,Weekend,83,24.44,733.13,127.69
4304,54,20,2533,Urban,Snowy,Truck,Medium,Weekend,86,22.22,1199.99,216.33
4305,58,16,2244,Highway,Rainy,Truck,High,Weekday,62,41.08,2382.37,387.28
4306,42,10,1904,Urban,Sunny,Truck,Medium,Weekend,97,30.74,1291.0,226.7
4307,46,16,2334,Highway,Rainy,Truck,High,Weekend,68,41.97,1930.57,282.55
4308,32,13,2111,Suburban,Sunny,Truck,High,Weekday,72,36.03,1153.11,200.84
4309,37,8,1915,Suburban,Sunny,Truck,Low,Weekday,78,46.37,1715.82,267.66
4310,43,12,2102,Suburban,Rainy,Truck,Medium,Weekend,84,39.31,1690.13,288.97
4311,32,8,1812,Highway,Sunny,Truck,Medium,Weekday,77,59.49,1903.75,285.44
4312,45,16,2338,Highway,Rainy,Truck,Medium,Weekend,82,53.23,2395.23,374.67
4313,42,10,1963,Suburban,Sunny,Truck,Medium,Weekday,84,46.46,1951.34,311.26
4314,49,17,2397,Urban,Rainy,Truck,High,Weekday,91,20.9,1024.28,186.65
4315,53,16,2284,Suburban,Sunny,Truck,Low,Weekday,98,46.03,2439.45,409.01
4316,46,12,2175,Suburban,Sunny,Truck,Low,Weekday,85,46.6,2143.67,395.19
4317,42,19,2389,Urban,Sunny,Truck,Low,Weekend,79,32.6,1369.17,248.23
4318,58,9,1953,Highway,Sunny,Truck,High,Weekday,58,45.71,2651.24,392.11
4319,35,10,1971,Highway,Rainy,Truck,High,Weekday,89,41.95,1468.19,237.6
4320,46,9,1981,Highway,Rainy,Truck,Medium,Weekday,75,50.51,2323.51,364.26
4321,43,16,2311,Urban,Rainy,Truck,Low,Weekday,80,27.58,1185.79,204.13
4322,46,14,2098,Suburban,Sunny,Truck,Low,Weekend,82,47.5,2184.89,360.6
4323,59,15,2262,Highway,Rainy,Truck,Low,Weekend,66,53.69,3167.92,486.3
4324,37,7,1711,Highway,Sunny,Truck,Medium,Weekend,88,61.21,2264.75,315.62
4325,40,14,2200,Urban,Sunny,Truck,Medium,Weekday,70,30.92,1236.76,215.58
4326,49,17,2385,Urban,Sunny,Truck,High,Weekday,85,24.46,1198.75,241.43
4327,57,23,2644,Suburban,Snowy,Truck,Low,Weekend,89,35.26,2009.98,312.56
4328,30,9,1960,Highway,Sunny,Truck,High,Weekend,84,47.14,1414.2,230.41
4329,55,23,2718,Suburban,Sunny,Truck,Medium,Weekday,72,46.56,2560.54,456.44
4330,36,8,1735,Suburban,Sunny,Truck,High,Weekday,81,36.07,1298.69,236.54
4331,50,12,2102,Suburban,Sunny,Truck,High,Weekday,70,37.02,1851.02,309.66
4332,50,10,1995,Highway,Rainy,Truck,High,Weekend,70,42.82,2141.13,315.29
4333,46,10,1890,Urban,Sunny,Truck,High,Weekday,89,24.35,1119.89,197.37
4334,59,17,2299,Suburban,Sunny,Truck,Low,Weekday,85,46.2,2725.96,501.83
4335,39,15,2260,Suburban,Snowy,Truck,Low,Weekday,83,36.73,1432.58,255.21
4336,40,13,2056,Suburban,Snowy,Truck,High,Weekday,85,26.39,1055.56,171.76
4337,51,23,2662,Urban,Sunny,Truck,High,Weekday,68,23.42,1194.67,220.11
4338,59,16,2259,Urban,Rainy,Truck,Low,Weekday,85,25.63,1512.42,307.69
4339,38,13,2155,Suburban,Sunny,Truck,High,Weekday,83,34.48,1310.35,200.9
4340,38,20,2419,Highway,Rainy,Truck,Medium,Weekday,75,52.85,2008.22,289.32
4341,53,22,2632,Highway,Rainy,Truck,Low,Weekday,60,52.11,2761.73,430.6
4342,34,10,2045,Highway,Sunny,Truck,Low,Weekday,74,60.53,2058.18,309.59
4343,46,14,2223,Suburban,Snowy,Truck,Low,Weekday,66,34.92,1606.1,274.59
4344,38,6,1770,Highway,Sunny,Truck,Low,Weekend,77,64.35,2445.12,373.82
4345,46,11,1890,Urban,Rainy,Truck,High,Weekend,85,20.07,923.35,167.76
4346,53,26,2718,Urban,Rainy,Truck,Medium,Weekday,85,25.01,1325.72,250.59
4347,50,10,1986,Highway,Sunny,Truck,Medium,Weekday,75,59.93,2996.42,443.3
4348,48,10,1982,Suburban,Sunny,Truck,High,Weekday,77,34.28,1645.26,276.14
4349,56,21,2500,Highway,Sunny,Truck,High,Weekend,82,47.96,2685.6,394.5
4350,36,18,2358,Urban,Rainy,Truck,Medium,Weekday,68,26.75,962.98,187.23
4351,52,19,2412,Urban,Rainy,Truck,Medium,Weekday,79,26.26,1365.69,270.71
4352,38,14,2157,Urban,Sunny,Truck,High,Weekday,85,22.97,872.83,179.05
4353,36,12,2189,Highway,Sunny,Truck,Medium,Weekday,99,60.93,2193.44,325.7
4354,42,11,1997,Suburban,Sunny,Truck,Medium,Weekday,76,44.83,1882.65,286.25
4355,40,11,1944,Suburban,Rainy,Truck,High,Weekday,72,31.6,1263.93,214.06
4356,43,18,2317,Urban,Rainy,Truck,Low,Weekday,79,25.7,1105.1,217.13
4357,48,21,2648,Urban,Sunny,Truck,Low,Weekend,90,30.66,1471.59,301.92
4358,40,9,1876,Urban,Sunny,Truck,Medium,Weekday,82,30.87,1234.94,228.11
4359,42,16,2205,Suburban,Sunny,Truck,Medium,Weekday,74,46.57,1956.0,296.76
4360,43,11,2067,Urban,Sunny,Truck,High,Weekday,83,24.07,1035.03,174.76
4361,42,16,2386,Highway,Sunny,Truck,Low,Weekday,89,59.97,2518.91,414.72
4362,30,4,1534,Suburban,Sunny,Truck,Medium,Weekend,71,46.77,1403.15,219.94
4363,37,9,1827,Urban,Rainy,Truck,High,Weekday,73,20.16,745.95,147.8
4364,41,21,2554,Urban,Sunny,Truck,Medium,Weekday,87,28.62,1173.38,204.63
4365,48,20,2493,Urban,Sunny,Truck,Medium,Weekday,87,30.96,1485.91,257.0
4366,41,15,2205,Highway,Rainy,Truck,Medium,Weekday,80,50.58,2073.87,348.54
4367,37,11,2131,Suburban,Rainy,Truck,Medium,Weekday,76,37.06,1371.38,241.24
4368,37,11,2118,Suburban,Sunny,Truck,Low,Weekday,74,48.67,1800.97,329.37
4369,58,20,2417,Highway,Sunny,Truck,Medium,Weekday,71,59.75,3465.29,525.16
4370,50,20,2507,Urban,Snowy,Truck,Medium,Weekend,84,22.74,1137.13,232.6
4371,42,19,2359,Urban,Sunny,Truck,Medium,Weekend,80,30.97,1300.71,234.95
4372,41,12,2081,Highway,Sunny,Truck,High,Weekday,75,48.11,1972.41,295.4
4373,58,16,2181,Urban,Snowy,Truck,Low,Weekend,68,22.7,1316.88,249.89
4374,45,24,2606,Urban,Rainy,Truck,Medium,Weekday,63,26.68,1200.72,224.07
4375,30,11,2097,Highway,Rainy,Truck,Medium,Weekday,60,49.91,1497.34,206.62
4376,42,17,2382,Urban,Sunny,Truck,Medium,Weekday,81,31.48,1322.28,262.3
4377,55,12,1995,Highway,Sunny,Truck,Low,Weekend,86,59.89,3293.84,477.02
4378,36,17,2355,Urban,Sunny,Truck,Low,Weekday,94,31.45,1132.16,203.74
4379,57,18,2323,Urban,Sunny,Truck,High,Weekday,83,24.49,1396.04,250.33
4380,55,28,2878,Highway,Sunny,Truck,Medium,Weekday,98,62.44,3434.08,536.88
4381,34,17,2284,Urban,Sunny,Truck,Medium,Weekday,74,30.84,1048.59,205.86
4382,37,8,1808,Urban,Sunny,Truck,High,Weekend,81,23.41,866.3,155.73
4383,54,26,2764,Urban,Rainy,Truck,Low,Weekday,79,26.09,1408.74,240.98
4384,56,23,2620,Urban,Snowy,Truck,High,Weekday,72,17.74,993.54,168.0
4385,43,11,1953,Urban,Rainy,Truck,Low,Weekend,69,25.73,1106.49,205.69
4386,52,13,2248,Urban,Rainy,Truck,Medium,Weekday,68,25.93,1348.49,253.49
4387,59,11,1990,Urban,Sunny,Truck,Medium,Weekday,73,31.32,1848.1,352.9
4388,42,15,2327,Suburban,Sunny,Truck,Medium,Weekday,93,45.64,1916.86,300.83
4389,44,15,2277,Highway,Sunny,Truck,Low,Weekday,73,63.21,2781.25,443.08
4390,52,21,2557,Suburban,Sunny,Truck,Medium,Weekday,86,45.02,2340.78,389.12
4391,46,12,2103,Suburban,Rainy,Truck,Low,Weekday,77,40.53,1864.59,320.7
4392,44,18,2436,Urban,Snowy,Truck,Low,Weekend,88,24.12,1061.39,182.82
4393,49,11,1923,Suburban,Rainy,Truck,Medium,Weekend,73,39.38,1929.54,336.2
4394,47,13,2084,Urban,Sunny,Truck,Medium,Weekday,70,30.59,1437.96,256.71
4395,47,14,2243,Highway,Rainy,Truck,Medium,Weekend,86,52.05,2446.15,364.16
4396,31,12,2173,Suburban,Sunny,Truck,Low,Weekday,87,49.38,1530.92,264.22
4397,33,9,1985,Suburban,Sunny,Truck,Medium,Weekday,96,46.8,1544.3,270.66
4398,59,14,2160,Highway,Sunny,Truck,Low,Weekend,84,65.04,3837.4,548.12
4399,30,8,1867,Urban,Sunny,Truck,Medium,Weekday,98,28.63,858.9,158.72
4400,33,16,2236,Suburban,Rainy,Truck,Medium,Weekday,80,38.9,1283.57,209.26
4401,47,18,2370,Suburban,Sunny,Truck,Medium,Weekend,98,44.8,2105.48,321.23
4402,34,10,1971,Highway,Sunny,Truck,High,Weekday,68,48.56,1651.19,255.39
4403,48,23,2722,Highway,Sunny,Truck,Medium,Weekday,85,61.12,2933.65,418.21
4404,44,16,2230,Highway,Sunny,Truck,High,Weekday,61,49.03,2157.33,318.04
4405,57,14,2140,Urban,Snowy,Truck,Medium,Weekday,82,23.33,1329.88,241.75
4406,37,21,2505,Suburban,Snowy,Truck,Medium,Weekday,85,35.13,1299.95,237.85
4407,49,25,2665,Urban,Snowy,Truck,Medium,Weekday,85,22.74,1114.28,190.63
4408,46,12,2139,Suburban,Sunny,Truck,Low,Weekday,96,49.11,2259.17,398.14
4409,30,8,1865,Suburban,Sunny,Truck,Medium,Weekday,87,46.19,1385.72,232.2
4410,41,8,1880,Urban,Snowy,Truck,High,Weekend,79,17.46,716.06,126.24
4411,55,11,2021,Highway,Snowy,Truck,Medium,Weekend,88,42.91,2359.99,355.98
4412,48,23,2707,Urban,Sunny,Truck,Medium,Weekday,80,28.53,1369.42,281.5
4413,44,17,2393,Highway,Rainy,Truck,Medium,Weekday,71,51.44,2263.44,314.68
4414,38,19,2490,Urban,Sunny,Truck,Medium,Weekday,70,30.06,1142.46,234.01
4415,36,13,2086,Highway,Snowy,Truck,High,Weekend,84,36.71,1321.45,218.11
4416,31,13,2072,Highway,Sunny,Truck,Low,Weekday,71,65.16,2019.95,323.93
4417,58,27,2939,Urban,Rainy,Truck,Medium,Weekday,78,24.64,1429.37,259.56
4418,38,7,1908,Urban,Sunny,Truck,Medium,Weekday,86,31.07,1180.63,199.81
4419,39,12,2052,Highway,Sunny,Truck,Medium,Weekday,97,57.59,2245.95,313.77
4420,31,11,1997,Suburban,Sunny,Truck,Medium,Weekend,89,46.72,1448.46,234.32
4421,48,9,1994,Urban,Sunny,Truck,Medium,Weekday,88,31.05,1490.47,263.29
4422,40,6,1734,Urban,Sunny,Truck,High,Weekend,65,24.47,978.91,173.91
4423,42,22,2548,Suburban,Rainy,Truck,Medium,Weekday,90,37.49,1574.37,252.94
4424,39,18,2476,Suburban,Sunny,Truck,Medium,Weekday,90,43.17,1683.64,264.11
4425,43,10,2019,Suburban,Rainy,Truck,Medium,Weekend,70,39.31,1690.49,291.07
4426,47,22,2653,Highway,Sunny,Truck,Medium,Weekday,94,58.31,2740.44,439.75
4427,48,24,2612,Highway,Sunny,Truck,Low,Weekday,90,62.63,3006.14,469.79
4428,51,16,2307,Highway,Rainy,Truck,Low,Weekday,66,53.72,2739.48,456.26
4429,38,6,1768,Urban,Sunny,Truck,High,Weekend,68,24.45,928.91,157.33
4430,54,24,2744,Urban,Snowy,Truck,Medium,Weekend,78,22.47,1213.47,214.45
4431,36,9,1875,Urban,Rainy,Truck,High,Weekday,86,20.8,748.69,147.08
4432,57,10,1985,Highway,Rainy,Truck,High,Weekend,65,42.08,2398.63,382.09
4433,32,12,2044,Urban,Sunny,Truck,Medium,Weekday,98,30.64,980.45,165.28
4434,49,19,2495,Urban,Sunny,Truck,High,Weekend,88,23.52,1152.42,202.55
4435,35,8,1859,Highway,Snowy,Truck,Medium,Weekend,68,46.77,1637.1,251.79
4436,56,13,2201,Urban,Sunny,Truck,Low,Weekend,80,31.66,1772.92,348.78
4437,50,14,2181,Suburban,Rainy,Truck,Medium,Weekday,84,38.12,1905.88,349.8
4438,31,14,2130,Suburban,Sunny,Truck,High,Weekday,77,36.27,1124.38,181.26
4439,58,12,2066,Highway,Sunny,Truck,High,Weekday,78,47.92,2779.33,398.78
4440,35,12,2084,Suburban,Rainy,Truck,High,Weekday,89,31.38,1098.32,198.64
4441,32,14,2202,Highway,Snowy,Truck,High,Weekend,79,35.71,1142.86,192.3
4442,45,8,1823,Urban,Sunny,Truck,Medium,Weekend,70,30.83,1387.36,264.46
4443,59,27,2965,Highway,Sunny,Truck,High,Weekend,77,49.25,2905.68,425.99
4444,37,21,2484,Suburban,Rainy,Truck,Medium,Weekday,75,37.4,1383.67,212.59
4445,31,13,2146,Highway,Sunny,Truck,High,Weekday,79,46.06,1427.88,201.08
4446,46,13,2101,Highway,Sunny,Truck,Low,Weekday,79,65.21,2999.71,437.99
4447,38,13,2060,Suburban,Sunny,Truck,High,Weekday,89,34.81,1322.71,207.42
4448,59,29,2970,Urban,Sunny,Truck,Medium,Weekday,87,28.59,1687.02,321.68
4449,41,24,2712,Suburban,Rainy,Truck,Medium,Weekday,61,37.88,1552.93,272.73
4450,32,8,1910,Highway,Snowy,Truck,Low,Weekday,86,46.09,1474.83,241.62
4451,40,16,2191,Urban,Sunny,Truck,High,Weekday,70,23.33,933.15,184.56
4452,30,8,1829,Suburban,Sunny,Truck,Medium,Weekend,91,43.53,1305.76,199.19
4453,52,14,2169,Urban,Sunny,Truck,Medium,Weekday,70,30.75,1598.87,272.64
4454,42,15,2222,Suburban,Sunny,Truck,Medium,Weekday,72,46.28,1943.57,356.21
4455,44,22,2515,Suburban,Sunny,Truck,Medium,Weekday,95,42.96,1890.19,316.94
4456,55,16,2360,Urban,Rainy,Truck,High,Weekday,77,20.5,1127.25,214.18
4457,34,11,2057,Urban,Sunny,Truck,Low,Weekend,81,30.35,1031.92,185.47
4458,50,23,2598,Urban,Rainy,Truck,High,Weekday,84,20.4,1019.95,195.59
4459,59,21,2467,Highway,Snowy,Truck,Medium,Weekday,74,44.32,2614.63,414.34
4460,46,16,2169,Urban,Rainy,Truck,High,Weekday,89,19.79,910.42,158.78
4461,54,14,2117,Suburban,Sunny,Truck,Medium,Weekend,97,47.02,2538.88,388.41
4462,52,14,2226,Urban,Sunny,Truck,Medium,Weekend,93,31.37,1631.25,321.17
4463,53,25,2650,Suburban,Sunny,Truck,Medium,Weekday,86,45.29,2400.26,422.41
4464,54,24,2782,Suburban,Rainy,Truck,Medium,Weekend,74,37.06,2001.07,338.99
4465,35,14,2210,Suburban,Snowy,Truck,Medium,Weekday,85,34.03,1191.09,190.65
4466,57,22,2538,Suburban,Rainy,Truck,Medium,Weekend,74,39.89,2273.67,405.98
4467,50,11,2078,Suburban,Sunny,Truck,Low,Weekday,73,46.67,2333.62,391.45
4468,51,11,1972,Suburban,Sunny,Truck,High,Weekday,78,34.7,1769.49,276.09
4469,40,12,2154,Suburban,Snowy,Truck,High,Weekend,91,27.52,1100.92,193.79
4470,47,7,1790,Suburban,Rainy,Truck,High,Weekday,70,31.08,1460.67,267.66
4471,33,7,1775,Suburban,Rainy,Truck,High,Weekend,80,29.07,959.45,147.88
4472,32,13,2205,Suburban,Sunny,Truck,Medium,Weekday,97,46.59,1490.92,234.97
4473,42,8,1838,Urban,Sunny,Truck,Low,Weekday,99,32.01,1344.27,239.42
4474,52,15,2314,Urban,Sunny,Truck,Medium,Weekday,80,29.09,1512.53,305.3
4475,38,12,1988,Highway,Snowy,Truck,High,Weekday,84,34.21,1300.04,182.41
4476,50,16,2347,Highway,Snowy,Truck,High,Weekend,90,37.7,1885.01,297.18
4477,35,19,2535,Urban,Sunny,Truck,Medium,Weekday,76,30.76,1076.74,211.61
4478,55,25,2746,Suburban,Rainy,Truck,Medium,Weekday,87,37.73,2075.36,346.76
4479,59,21,2553,Urban,Sunny,Truck,Medium,Weekday,76,29.8,1758.1,300.19
4480,57,25,2824,Highway,Sunny,Truck,Medium,Weekend,92,60.23,3433.29,473.37
4481,41,16,2303,Suburban,Sunny,Truck,Low,Weekend,95,48.28,1979.6,322.57
4482,31,8,1828,Suburban,Sunny,Truck,Medium,Weekday,73,43.53,1349.37,206.12
4483,32,6,1699,Suburban,Sunny,Truck,High,Weekday,71,34.9,1116.95,187.91
4484,32,12,2041,Suburban,Sunny,Truck,High,Weekday,75,34.37,1099.96,202.36
4485,57,24,2740,Highway,Rainy,Truck,Medium,Weekday,77,53.48,3048.22,483.55
4486,41,16,2250,Urban,Sunny,Truck,High,Weekday,86,24.9,1020.96,196.87
4487,44,16,2301,Urban,Rainy,Truck,High,Weekend,80,20.51,902.35,158.16
4488,38,13,2187,Highway,Sunny,Truck,High,Weekday,81,47.67,1811.28,296.74
4489,52,30,3046,Highway,Rainy,Truck,Medium,Weekday,80,49.66,2582.37,418.48
4490,37,15,2207,Suburban,Snowy,Truck,Medium,Weekday,61,34.07,1260.61,205.41
4491,40,7,1696,Suburban,Sunny,Truck,Medium,Weekend,90,45.86,1834.29,330.1
4492,45,23,2577,Highway,Sunny,Truck,Medium,Weekday,86,61.14,2751.08,417.2
4493,55,16,2395,Urban,Sunny,Truck,Medium,Weekday,95,28.52,1568.56,320.25
4494,56,28,2930,Urban,Sunny,Truck,Medium,Weekday,93,30.61,1713.94,307.03
4495,54,24,2745,Highway,Sunny,Truck,High,Weekend,80,49.76,2686.96,376.38
4496,51,24,2706,Suburban,Sunny,Truck,Medium,Weekday,90,43.27,2206.62,342.12
4497,33,14,2188,Highway,Rainy,Truck,Low,Weekday,79,54.92,1812.28,300.19
4498,57,21,2618,Suburban,Sunny,Truck,Medium,Weekday,74,46.45,2647.91,433.43
4499,30,10,1934,Suburban,Sunny,Truck,Medium,Weekday,84,43.99,1319.78,238.89
4500,53,18,2392,Urban,Sunny,Truck,Low,Weekday,95,32.17,1704.91,346.68
4501,36,12,2073,Suburban,Sunny,Truck,Low,Weekend,73,45.34,1632.41,266.19
4502,31,15,2225,Highway,Rainy,Truck,Medium,Weekday,65,51.76,1604.59,239.65
4503,53,19,2414,Urban,Sunny,Truck,Medium,Weekend,81,30.03,1591.64,320.81
4504,57,15,2225,Urban,Snowy,Truck,Medium,Weekday,80,23.29,1327.37,252.9
4505,34,13,2099,Urban,Sunny,Truck,Medium,Weekday,98,29.86,1015.1,195.14
4506,36,18,2399,Highway,Sunny,Truck,Low,Weekday,88,62.55,2251.69,352.26
4507,33,12,2157,Urban,Sunny,Truck,Low,Weekday,95,32.87,1084.59,207.78
4508,34,11,1953,Urban,Sunny,Truck,High,Weekday,79,25.04,851.44,148.06
4509,53,26,2814,Urban,Rainy,Truck,Medium,Weekday,60,24.32,1288.75,245.86
4510,30,13,2126,Suburban,Snowy,Truck,Medium,Weekday,68,33.7,1011.04,174.42
4511,30,10,2020,Urban,Sunny,Truck,Low,Weekday,94,30.43,912.96,186.62
4512,44,24,2797,Suburban,Rainy,Truck,Medium,Weekday,79,37.38,1644.91,259.1
4513,49,9,1847,Highway,Sunny,Truck,High,Weekday,93,48.8,2391.08,351.06
4514,48,22,2583,Suburban,Sunny,Truck,Medium,Weekend,75,43.33,2079.93,358.01
4515,58,11,1965,Urban,Sunny,Truck,High,Weekend,79,22.83,1323.97,247.56
4516,39,8,1901,Highway,Snowy,Truck,Medium,Weekday,57,46.02,1794.86,256.84
4517,57,24,2750,Urban,Sunny,Truck,Medium,Weekend,99,30.42,1734.17,331.47
4518,47,11,2050,Urban,Sunny,Truck,High,Weekday,64,24.97,1173.42,218.46
4519,57,22,2544,Highway,Sunny,Truck,High,Weekend,62,48.2,2747.58,460.53
4520,32,12,2151,Suburban,Rainy,Truck,Medium,Weekend,67,39.95,1278.51,196.63
4521,40,16,2301,Suburban,Rainy,Truck,Low,Weekend,67,40.6,1624.06,277.83
4522,44,26,2720,Urban,Sunny,Truck,Medium,Weekday,86,29.66,1305.1,251.94
4523,56,17,2404,Urban,Snowy,Truck,Medium,Weekday,81,22.74,1273.67,230.83
4524,59,22,2543,Highway,Snowy,Truck,High,Weekend,69,36.9,2176.93,328.09
4525,40,9,1926,Suburban,Rainy,Truck,Medium,Weekday,68,37.67,1506.67,256.19
4526,46,12,2024,Urban,Rainy,Truck,Low,Weekend,85,26.43,1215.95,207.64
4527,46,19,2480,Highway,Rainy,Truck,Medium,Weekend,58,51.66,2376.48,370.22
4528,35,9,1949,Urban,Sunny,Truck,Low,Weekend,97,31.36,1097.6,184.84
4529,34,14,2156,Highway,Sunny,Truck,Medium,Weekday,79,60.16,2045.5,292.98
4530,37,14,2218,Highway,Sunny,Truck,Medium,Weekday,76,62.89,2327.02,326.26
4531,31,14,2264,Highway,Snowy,Truck,Medium,Weekday,72,42.95,1331.36,210.88
4532,45,20,2486,Highway,Rainy,Truck,High,Weekend,73,41.4,1863.15,308.84
4533,49,10,1947,Highway,Sunny,Truck,Medium,Weekday,75,62.54,3064.33,471.92
4534,53,17,2384,Suburban,Sunny,Truck,High,Weekday,85,35.05,1857.67,321.62
4535,41,22,2657,Suburban,Rainy,Truck,Medium,Weekday,56,37.15,1523.09,278.3
4536,35,10,1984,Urban,Rainy,Truck,High,Weekday,73,20.12,704.22,142.64
4537,30,6,1850,Urban,Sunny,Truck,Medium,Weekday,82,28.72,861.67,170.69
4538,33,10,1847,Urban,Sunny,Truck,High,Weekday,72,24.14,796.77,151.25
4539,46,15,2280,Urban,Sunny,Truck,Medium,Weekday,78,30.44,1400.07,238.51
4540,42,11,2010,Urban,Snowy,Truck,Low,Weekday,63,24.38,1023.99,183.83
4541,47,25,2745,Urban,Rainy,Truck,Low,Weekday,90,25.61,1203.83,227.56
4542,34,10,1847,Urban,Snowy,Truck,High,Weekend,65,17.89,608.09,106.25
4543,59,26,2802,Urban,Sunny,Truck,Medium,Weekend,92,30.85,1820.3,332.54
4544,53,27,2889,Urban,Rainy,Truck,Low,Weekday,64,27.49,1457.15,274.37
4545,53,20,2511,Urban,Sunny,Truck,High,Weekday,62,22.98,1217.77,242.78
4546,56,8,1899,Suburban,Sunny,Truck,Medium,Weekend,94,42.8,2396.87,368.04
4547,32,8,1865,Suburban,Sunny,Truck,High,Weekday,75,37.02,1184.64,192.67
4548,40,11,2136,Suburban,Snowy,Truck,Medium,Weekday,65,32.53,1301.13,219.52
4549,42,23,2642,Suburban,Rainy,Truck,Low,Weekday,63,40.47,1699.95,286.87
